X,Y,Time
240.5,168.0,1579818532090
260.5,169.5,1579818532090
241.0,167.5,1579818532114
261.5,169.5,1579818532115
62.5,43.0,1579818532128
62.0,43.0,1579818532152
61.5,43.5,1579818532203
241.5,167.5,1579818532204
61.0,44.0,1579818532218
240.0,167.0,1579818532219
60.5,44.0,1579818532249
241.5,168.0,1579818532249
60.0,44.5,1579818532282
241.5,168.0,1579818532282
242.0,168.0,1579818532313
57.0,44.0,1579818532345
240.0,167.5,1579818532346
240.0,167.5,1579818532377
261.0,169.5,1579818532377
240.5,167.0,1579818532425
240.0,167.0,1579818532456
240.0,167.0,1579818532469
239.5,166.5,1579818532488
239.5,167.0,1579818532521
50.0,42.5,1579818532552
239.5,167.0,1579818532552
239.0,167.0,1579818532616
238.5,167.0,1579818532649
237.5,166.5,1579818532681
237.0,166.5,1579818532728
237.0,166.0,1579818532762
237.0,166.0,1579818532774
236.5,165.5,1579818532793
236.0,165.0,1579818532824
237.0,165.5,1579818532855
236.0,164.5,1579818532888
235.0,163.5,1579818532920
254.5,163.0,1579818532952
236.0,164.0,1579818532952
234.0,163.0,1579818533037
253.5,161.5,1579818533037
234.0,163.0,1579818533063
234.0,163.0,1579818533075
233.5,162.5,1579818533096
233.0,162.0,1579818533128
232.5,162.0,1579818533160
251.0,160.5,1579818533160
250.5,160.5,1579818533191
232.5,162.0,1579818533191
231.5,161.5,1579818533223
232.0,162.0,1579818533255
232.0,161.5,1579818533287
231.5,161.5,1579818533337
231.0,160.5,1579818533367
231.5,161.5,1579818533399
251.0,160.5,1579818533431
232.5,161.5,1579818533432
232.5,162.0,1579818533464
251.0,160.0,1579818533495
232.0,161.0,1579818533495
232.5,161.5,1579818533527
233.0,161.5,1579818533558
232.5,161.5,1579818533591
232.0,160.5,1579818533644
232.5,160.5,1579818533672
232.5,161.0,1579818533703
233.0,160.5,1579818533735
232.0,160.5,1579818533768
232.0,160.5,1579818533800
248.0,157.5,1579818533831
231.0,160.0,1579818533831
230.5,159.5,1579818533864
230.0,159.5,1579818533896
227.5,158.5,1579818533946
228.5,160.5,1579818533977
226.5,159.5,1579818534008
224.5,158.0,1579818534039
225.0,157.5,1579818534071
225.0,156.5,1579818534103
226.0,156.5,1579818534134
227.5,156.0,1579818534167
230.0,155.5,1579818534198
232.0,155.5,1579818534250
233.5,155.0,1579818534279
233.0,153.0,1579818534311
236.0,156.0,1579818534311
234.0,153.5,1579818534438
233.0,153.0,1579818534471
233.5,155.0,1579818534554
233.5,155.0,1579818534567
230.0,155.5,1579818534615
227.5,155.0,1579818534646
224.0,154.0,1579818534679
222.5,155.0,1579818534711
220.5,155.0,1579818534742
219.5,154.5,1579818534775
218.0,156.0,1579818534855
218.0,156.0,1579818534867
215.5,154.5,1579818534920
215.5,155.0,1579818534951
214.5,155.0,1579818535018
214.5,155.5,1579818535049
233.0,155.5,1579818535079
214.0,156.0,1579818535080
214.5,157.0,1579818535130
213.5,157.0,1579818535160
213.5,157.0,1579818535173
231.5,155.5,1579818535191
212.5,156.0,1579818535191
212.5,156.0,1579818535224
210.5,154.5,1579818535319
230.0,155.0,1579818535351
211.0,154.5,1579818535438
211.5,155.5,1579818535495
211.0,154.5,1579818535560
212.5,156.0,1579818535591
213.0,157.0,1579818535623
214.5,157.5,1579818535655
216.5,158.0,1579818535687
217.0,158.0,1579818535737
219.5,159.0,1579818535801
220.0,159.0,1579818535832
221.0,160.0,1579818535863
239.0,158.0,1579818535895
221.5,160.0,1579818535896
222.5,160.0,1579818535926
221.5,159.5,1579818535959
222.5,160.0,1579818535992
222.5,159.5,1579818536041
222.5,159.5,1579818536073
223.0,159.0,1579818536106
223.0,159.0,1579818536136
222.0,158.0,1579818536169
222.0,157.5,1579818536201
222.0,156.5,1579818536231
X,Y,Time
209.5,158.0,1580443585305
211.5,159.0,1580443585337
213.5,154.5,1580443585548
213.0,149.5,1580443585708
214.5,152.0,1580443585741
216.5,153.0,1580443585802
217.5,155.0,1580443585850
218.0,153.5,1580443585882
219.5,154.5,1580443585913
219.5,153.5,1580443585946
221.0,157.0,1580443585946
221.0,155.0,1580443585978
221.0,155.0,1580443586009
221.0,153.5,1580443586042
222.0,155.0,1580443586073
221.5,155.0,1580443586104
222.5,156.5,1580443586156
221.5,156.0,1580443586188
221.5,157.0,1580443586217
220.5,156.5,1580443586281
220.0,156.5,1580443586344
220.0,154.5,1580443586376
219.0,156.5,1580443586408
216.0,156.0,1580443586490
216.0,156.5,1580443586521
205.5,155.5,1580443586857
205.5,156.0,1580443586889
205.0,155.0,1580443587100
230.5,149.5,1580443587464
231.5,149.5,1580443588202
211.5,150.0,1580443591144
212.5,149.5,1580443591176
212.5,149.0,1580443591226
215.0,151.5,1580443591259
216.0,153.0,1580443591290
216.0,152.5,1580443591320
217.5,153.0,1580443591353
217.5,154.0,1580443591385
217.5,153.0,1580443591417
217.5,153.0,1580443591448
217.0,152.5,1580443591481
217.5,153.0,1580443591529
218.0,153.0,1580443591561
218.0,153.0,1580443591573
218.5,153.5,1580443591624
218.0,153.5,1580443591656
217.5,153.5,1580443591689
217.0,153.0,1580443591721
217.5,155.0,1580443591754
216.5,152.5,1580443591785
214.0,150.0,1580443591834
213.5,149.5,1580443591866
213.5,149.5,1580443591879
213.5,152.0,1580443591897
213.0,149.0,1580443591928
212.5,147.5,1580443591961
212.0,148.0,1580443592023
211.5,146.5,1580443592140
211.0,145.5,1580443592169
211.0,145.5,1580443592180
210.5,145.5,1580443592200
211.0,146.5,1580443592536
211.5,146.5,1580443592568
210.5,146.5,1580443592633
